type,delimiter,extension,format,nrows,ncols,file_size,nnum_vars,nchar_vars,num_vars,char_vars,tasks,num_files,title,link,author,publisher,citation_request,description,date_submitted,date_created,tags
,,,,528,10,NA,NA,NA,,,classification,NA,Connectionist Bench (Vowel Recognition - Deterding Data) Data Set,,,,,Speaker independent recognition of the eleven steady state vowels of British English using a specified training set of lpc derived log area ratios.,N/A,,n/a
,,,,15,3,NA,NA,NA,,,"classification, regression",NA,Container Crane Controller Data Set Data Set,,,,,A container crane has the function of transporting containers from one point to another point.,2018-01-01,,computer
,,,,1473,9,NA,NA,NA,,,classification,NA,Contraceptive Method Choice Data Set,,,,,Dataset is a subset of the 1987 National Indonesia Contraceptive Prevalence Survey.,1997-07-07,,life
,,,,68040,89,NA,NA,NA,,,n/a,NA,Corel Image Features Data Set,,,,,"This dataset contains image features extracted from a Corel image collection. Four sets of features are available based on the color histogram, color histogram layout, color moments, and co-occurence",1999-07-01,,n/a
,,,,581012,54,NA,NA,NA,,,classification,NA,Covertype Data Set,,,,,Forest CoverType dataset,1998-08-01,,life
,,,,14,7,NA,NA,NA,,,classification,NA,COVID-19 Surveillance Data Set,,,,,Coronavirus Disease (COVID-19) Surveillance.,2020-04-24,,computer
,,,,690,15,NA,NA,NA,,,classification,NA,Credit Approval Data Set,,,,,This data concerns credit card applications; good mix of attributes,N/A,,financial
,,,,325834,175,NA,NA,NA,,,classification,NA,Crop mapping using fused optical-radar data set Data Set,,,,,"Combining optical and PolSAR remote sensing images offers a complementary data set with a significant number of temporal, spectral, textural, and polarimetric features for cropland classification.",2020-06-16,,n/a
,,,,10546,29,NA,NA,NA,,,classification,NA,Crowdsourced Mapping Data Set,,,,,"Crowdsourced data from OpenStreetMap is used to automate the classification of satellite images into different land cover classes (impervious, farm, forest, grass, orchard, water).",2016-05-25,,physical
,,,,90,7,NA,NA,NA,,,classification,NA,Cryotherapy Dataset  Data Set,,,,,This dataset contains information about wart treatment results of 90 patients using cryotherapy.,2018-01-04,,life
,,,,217,12,NA,NA,NA,,,"classification, regression",NA,CSM (Conventional and Social Media Movies) Dataset 2014 and 2015 Data Set,,,,,"12 features categorized as conventional and social media features. Both conventional features, collected from movies databases on Web as well as social media features(YouTube,Twitter).",2017-10-11,,computer
,,,,12000,3,NA,NA,NA,,,"classification, regression",NA,Cuff-Less Blood Pressure Estimation Data Set,,,,,This Data set provides preprocessed and cleaned vital signals which can be used in designing algorithms for cuff-less estimation of the blood pressure.,2015-07-27,,life
,,,,512,39,NA,NA,NA,,,classification,NA,Cylinder Bands Data Set,,,,,"Used in decision tree induction for mitigating process delays known as ""cylinder bands"" in rotogravure printing",1995-08-01,,physical
,,,,9120,5625,NA,NA,NA,,,"classification, clustering",NA,Daily and Sports Activities Data Set,,,,,"The dataset comprises motion sensor data of 19 daily and sports activities each performed by 8 subjects in their own style for 5 minutes. Five Xsens MTx units are used on the torso, arms, and legs.",2013-07-08,,computer
,,,,60,13,NA,NA,NA,,,regression,NA,Daily Demand Forecasting Orders Data Set,,,,,"The dataset was collected during 60 days, this is a real database of a brazilian logistics company.",2017-11-21,,business
,,,,237,9,NA,NA,NA,,,classification,NA,Daphnet Freezing of Gait Data Set,,,,,This dataset contains the annotated readings of 3 acceleration sensors at the hip and leg of Parkinson's disease patients that experience freezing of gait (FoG) during walking tasks.,2013-03-07,,life
,,,,74,102,NA,NA,NA,,,classification,NA,Data for Software Engineering Teamwork Assessment in Education Setting Data Set,,,,,"Data include over 100 Team Activity Measures and outcomes (ML classes) obtained from activities of 74 student teams during the creation of final class project in SW Eng. classes  at SFSU, Fulda, FAU",2017-06-29,,computer
,,,,N/A,3,NA,NA,NA,,,"classification, clustering",NA,Dataset for ADL Recognition with Wrist-worn Accelerometer Data Set,,,,,Recordings of 16 volunteers performing 14 Activities of Daily Living (ADL) while carrying a single wrist-worn tri-axial accelerometer.,2014-02-11,,computer
,,,,58509,49,NA,NA,NA,,,classification,NA,Dataset for Sensorless Drive Diagnosis Data Set,,,,,Features are extracted from motor current. The motor has intact and defective components. This results in 11 different classes with different conditions.,2015-02-24,,computer
,,,,64,4702,NA,NA,NA,,,classification,NA,DBWorld e-mails Data Set,,,,,It contains 64 e-mails which I have manually collected from DBWorld mailing list. They are classified in: 'announces of conferences' and 'everything else'.,2011-11-06,,computer
,,,,20000,200000,NA,NA,NA,,,classification,NA,Deepfakes: Medical Image Tamper Detection Data Set,,,,,"Medical deepfakes: CT scans of human lungs, where some have been tampered with cancer added/removed. Can you find them?",2020-03-11,,computer
,,,,30000,24,NA,NA,NA,,,classification,NA,default of credit card clients Data Set,,,,,This research aimed at the case of customersâ€™ default payments in Taiwan and compares the predictive accuracy of probability of default among six data mining methods.,2016-01-26,,business
,,,,12234,8519,NA,NA,NA,,,classification,NA,DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels Data Set,,,,,"This dataset includes 1) 12234 documents (8251 training, 3983 test) extracted from DeliciousT140 dataset, 2) class labels for all documents, 3) labels for a subset of sentences of the test documents.",2016-10-27,,computer
,,,,28764,8,NA,NA,NA,,,regression,NA,Demand Forecasting for a store Data Set,,,,,Contains data for a store from week 1 to week 146.,2019-05-14,,n/a
,,,,503,N/A,NA,NA,NA,,,classification,NA,Demospongiae Data Set,,,,,Marine sponges of the Demospongiae class classification domain.,2010-01-21,,life
,,,,366,33,NA,NA,NA,,,classification,NA,Dermatology Data Set,,,,,Aim for this dataset is to determine the type of Eryhemato-Squamous Disease.,1998-01-01,,life
,,,,373,513,NA,NA,NA,,,classification,NA,Detect Malacious Executable(AntiVirus) Data Set,,,,,I extract features from malacious and non-malacious and create and training dataset to teach svm classifier.Dataset made of unknown executable to detect if it is virus or normal safe executable.,2016-03-03,,computer
,,,,7107,280,NA,NA,NA,,,classification,NA,Detect Malware Types Data Set,,,,,Provide a short description of your data set (less than 200 characters).,2019-06-03,,computer
,,,,7062606,115,NA,NA,NA,,,"classification, clustering",NA,detection,,,,,"This dataset addresses the lack of public botnet datasets, especially for the IoT. It suggests *real* traffic data, gathered from 9 commercial IoT devices authentically infected by Mirai and BASHLITE.",2018-03-19,,computer
,,,,92000,N/A,NA,NA,NA,,,classification,NA,Devanagari Handwritten Character Dataset Data Set,,,,,This is an image database of Handwritten Devanagari characters. There are 46 classes of characters with 2000 examples each. The dataset is split into training set(85%) and testing set(15%).,2016-09-01,,computer
,,,,2600,20000,NA,NA,NA,,,classification,NA,Dexter Data Set,,,,,DEXTER is a text classification problem in a bag-of-word representation. This is a two-class classification problem with sparse continuous input variables. This dataset is one of five datasets of the NIPS 2003 feature selection challenge.,2008-02-29,,n/a
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,DGP2 - The Second Data Generation Program Data Set,,,,,"Generates application domains based on specific parameters, number of features, and proportion of positive to negative examples",N/A,,n/a
,,,,N/A,20,NA,NA,NA,,,n/a,NA,Diabetes Data Set,,,,,This diabetes dataset is from AIM '94,N/A,,life
,,,,100000,55,NA,NA,NA,,,"classification, clustering",NA,Diabetes 130-US hospitals for years 1999-2008 Data Set,,,,,"This data has been prepared to analyze factors related to readmission as well as other ",2014-05-03,,life
,,,,1151,20,NA,NA,NA,,,classification,NA,Diabetic Retinopathy Debrecen Data Set Data Set,,,,,This dataset contains features extracted from the Messidor image set to predict whether an image contains signs of diabetic retinopathy or not.,2014-11-03,,life
,,,,71,11,NA,NA,NA,,,classification,NA,Discrete Tone Image Dataset Data Set,,,,,"Discrete Tone Images(DTI)are available which needs to be analyzed in detail. Here, we created this dataset for those who do research in DTI.",2018-01-20,,computer
,,,,322,5,NA,NA,NA,,,"classification, clustering",NA,Dishonest Internet users Dataset Data Set,,,,,The dataset was used to test an architecture based on a trust model capable to cope with the evaluation of the trustworthiness of users interacting in pervasive environments.,2018-03-20,,computer
,,,,170,54,NA,NA,NA,,,classification,NA,Divorce Predictors data set Data Set,,,,,Participants completed the Personal Information Form and Divorce Predictors Scale.,2019-07-24,,life
,,,,170,54,NA,NA,NA,,,classification,NA,Divorce Predictors data set Data Set,,,,,Participants completed the Personal Information Form and Divorce Predictors Scale.,2019-07-24,,life
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,Document Understanding Data Set,,,,,"Five concepts, expressed as predicates, to be learned",1994-11-01,,n/a
,,,,50400,3,NA,NA,NA,,,n/a,NA,Dodgers Loop Sensor Data Set,,,,,Loop sensor data was collected for the Glendale on ramp for the 101 North freeway in Los Angeles,2006-12-01,,n/a
,,,,1950,100000,NA,NA,NA,,,classification,NA,Dorothea Data Set,,,,,DOROTHEA is a drug discovery dataset. Chemical compounds represented by structural molecular features must be classified as active (binding to thrombin) or inactive. This is one of 5 datasets of the NIPS 2003 feature selection challenge.,2008-02-29,,life
,,,,102944,116,NA,NA,NA,,,classification,NA,Dota2 Games Results Data Set,,,,,Dota 2 is a popular computer game with two teams of 5 players. At the start of the game each player chooses a unique hero with different strengths and weaknesses.,2016-08-14,,game
,,,,750,16,NA,NA,NA,,,"classification, clustering",NA,Dow Jones Index Data Set,,,,,This dataset contains weekly data for the Dow Jones Industrial Index.  It has been used in computational investing research.,2014-10-23,,business
,,,,501,13,NA,NA,NA,,,"classification, clustering",NA,Dresses,,,,,This dataset contain Attributes of dresses and their recommendations according to their sales.Sales are monitor on the basis of alternate days.,2014-02-19,,computer
,,,,606,6400,NA,NA,NA,,,"classification, regression, clustering",NA,DrivFace Data Set,,,,,"The DrivFace contains images sequences of subjects while driving in real scenarios. It is composed of 606 samples of 640Ã—480, acquired over different days from 4 drivers with several facial features.",2016-05-26,,computer
,,,,1885,32,NA,NA,NA,,,classification,NA,Drug consumption (quantified) Data Set,,,,,Classify type of drug consumer by personality data,2016-10-17,,social
,,,,4143,8,NA,NA,NA,,,"classification, regression, clustering",NA,Drug Review Dataset (Druglib.com) Data Set,,,,,"The dataset provides patient reviews on specific drugs along with related conditions. Reviews and ratings are grouped into reports on the three aspects benefits, side effects and overall comment.",2018-10-02,,n/a
,,,,215063,6,NA,NA,NA,,,"classification, regression, clustering",NA,Drug Review Dataset (Drugs.com) Data Set,,,,,The dataset provides patient reviews on specific drugs along with related conditions and a 10 star patient rating reflecting overall patient satisfaction.,2018-10-04,,life
,,,,13611,17,NA,NA,NA,,,classification,NA,Dry Bean Dataset Data Set,,,,,"Images of 13,611 grains of 7 different registered dry beans were taken with a high-resolution camera. A total of 16 features; 12 dimensions and 4 shape forms, were obtained from the grains.",2020-09-14,,computer
,,,,10000,5,NA,NA,NA,,,clustering,NA,DSRC Vehicle Communications Data Set,,,,,This set Provides data regarding wireless communications between vehicles and road side units. two separate data sets are provided (normal scenario) and in the presence of attacker (jammer).,2017-12-13,,computer
,,,,107888,482,NA,NA,NA,,,"classification, regression",NA,Dynamic Features of VirusShare Executables Data Set,,,,,"This dataset contains the dynamic features of 107,888 executables, collected by VirusShare from Nov/2010 to Jul/2014.",2017-11-29,,computer
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,E. Coli Genes Data Set,,,,,"Data giving characteristics of each ORF (potential gene) in the E. coli genome. Sequence, homology (similarity to other genes) and structural information, and function (if known) are provided.",2001-07-14,,life
,,,,520,17,NA,NA,NA,,,classification,NA,Early stage diabetes risk prediction dataset. Data Set,,,,,"This dataset",2020-07-12,,computer
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,EBL Domain Theories Data Set,,,,,Assorted small-scale domain theories,N/A,,computer
,,,,132,12,NA,NA,NA,,,classification,NA,Echocardiogram Data Set,,,,,Data for classifying if patients will survive for at least one year after a heart attack,1989-02-28,,life
,,,,401,1,NA,NA,NA,,,n/a,NA,Eco-hotel Data Set,,,,,"This dataset includes Online Textual Reviews from both online (e.g., TripAdvisor) and offline (e.g., Guests' book) sources from the Areias do Seixo Eco-Resort.",2017-07-23,,business
,,,,336,8,NA,NA,NA,,,classification,NA,Ecoli Data Set,,,,,This data contains protein localization sites,1996-09-01,,life
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,Economic Sanctions Data Set,,,,,Domain Theory on Economic Sanctions; Undocumented,N/A,,financial
,,,,230318,13,NA,NA,NA,,,"classification, regression, clustering",NA,Educational Process Mining (EPM): A Learning Analytics Data Set Data Set,,,,,Educational Process Mining data set is built from the recordings of 115 subjects' activities through a logging application while learning with an educational simulator.,2015-09-24,,computer
,,,,122,4,NA,NA,NA,,,n/a,NA,EEG Database Data Set,,,,,This data arises from a large study to examine EEG correlates of genetic predisposition to alcoholism. It contains measurements from 64 electrodes placed on the scalp sampled at 256 Hz,1999-10-13,,life
,,,,14980,15,NA,NA,NA,,,classification,NA,EEG Eye State Data Set,,,,,The data set consists of 14 EEG values and a value indicating the eye state.,2013-06-10,,life
,,,,9200,16,NA,NA,NA,,,"classification, regression",NA,EEG Steady-State Visual Evoked Potential Signals Data Set,,,,,This database consists on 30 subjects performing Brain Computer Interface for Steady State Visual Evoked Potentials (BCI-SSVEP).,2018-07-13,,life
,,,,178080,12,NA,NA,NA,,,n/a,NA,El Nino Data Set,,,,,The data set contains oceanographic and surface meteorological readings taken from a series of buoys positioned throughout the equatorial Pacific.,1999-06-30,,physical
,,,,10000,14,NA,NA,NA,,,"classification, regression",NA,Electrical Grid Stability Simulated Data  Data Set,,,,,The local stability analysis of the 4-node star system (electricity producer is in the center) implementing Decentral Smart Grid Control concept.,2018-11-16,,physical
,,,,370,140256,NA,NA,NA,,,"regression, clustering",NA,ElectricityLoadDiagrams20112014 Data Set,,,,,This data set contains electricity consumption of 370 points/clients.,2015-03-13,,computer
,,,,30000,6,NA,NA,NA,,,classification,NA,EMG data for gestures Data Set,,,,,These are files of raw EMG data recorded by MYO Thalmic bracelet,2019-01-07,,life
,,,,132,5,NA,NA,NA,,,n/a,NA,EMG dataset in Lower Limb Data Set,,,,,"3 different exercises: sitting, standing and walking in the muscles: biceps femoris, vastus medialis, rectus femoris and semitendinosus addition to goniometry in the exercises.",2014-02-05,,computer
,,,,10000,8,NA,NA,NA,,,classification,NA,EMG Physical Action Data Set Data Set,,,,,The Physical Action Data Set includes 10 normal and 10 aggressive physical actions that measure the human activity. The data have been collected by 4 subjects using the Delsys EMG wireless apparatus.,2011-07-27,,physical
,,,,768,8,NA,NA,NA,,,"classification, regression",NA,Energy efficiency Data Set,,,,,"This study looked into assessing the heating load and cooling load requirements of buildings (that is, energy efficiency) as a function of building parameters.",2012-11-30,,computer
,,,,50672,N/A,NA,NA,NA,,,recommender-systems,NA,Entree Chicago Recommendation Data Data Set,,,,,This data contains a record of user interactions with the Entree Chicago restaurant recommendation system.,2000-03-09,,n/a
,,,,11500,179,NA,NA,NA,,,"classification, clustering",NA,Epileptic Seizure Recognition Data Set,,,,,This dataset is a pre-processed and re-structured/reshaped version of a very commonly used dataset featuring epileptic seizure detection.,2017-05-24,,life
,,,,2111,17,NA,NA,NA,,,"classification, regression, clustering",NA,Estimation of obesity levels based on eating habits and physical condition  Data Set,,,,,"This dataset include data for the estimation of obesity levels in individuals from the countries of Mexico, Peru and Colombia, based on their eating habits and physical condition.",2019-08-27,,life
,,,,399,4,NA,NA,NA,,,"classification, clustering",NA,Exasens Data Set,,,,,"This repository introduces a novel dataset for the classification of 4 groups of respiratory diseases: Chronic Obstructive Pulmonary Disease (COPD), asthma, infected, and Healthy Controls (HC).",2020-04-22,,life
,,,,399,4,NA,NA,NA,,,"classification, clustering",NA,Exasens Data Set,,,,,"This repository introduces a novel dataset for the classification of 4 groups of respiratory diseases: Chronic Obstructive Pulmonary Disease (COPD), asthma, infected, and Healthy Controls (HC).",2020-04-22,,life
,,,,303,59,NA,NA,NA,,,classification,NA,extention of Z-Alizadeh sani dataset Data Set,,,,,It was collected for CAD diagnosis.,2017-11-17,,life
,,,,40949,54,NA,NA,NA,,,regression,NA,Facebook Comment Volume Dataset Data Set,,,,,Instances in this dataset contain features extracted from facebook posts. The task associated with the data is to predict how many comments the post will receive.,2016-03-11,,n/a
,,,,22470,4714,NA,NA,NA,,,classification,NA,Facebook Large Page-Page Network Data Set,,,,,This webgraph is a page-page graph of verified Facebook sites. Nodes represent official Facebook pages while the links are mutual likes between sites.,2020-07-22,,social
,,,,7051,12,NA,NA,NA,,,clustering,NA,Facebook Live Sellers in Thailand Data Set,,,,,"Facebook pages of 10 Thai fashion and cosmetics retail sellers. Posts of a different nature (video, photos, statuses, and links). Engagement metrics consist of comments, shares, and reactions.",2019-04-22,,business
,,,,500,19,NA,NA,NA,,,regression,NA,Facebook metrics Data Set,,,,,Facebook performance metrics of a renowned cosmetic's brand Facebook page.,2016-08-05,,business
,,,,4143,54877,NA,NA,NA,,,classification,NA,Farm Ads Data Set,,,,,This data was collected from text ads found on twelve websites that deal with various farm animal related topics.  The binary labels are based on whether or not the content owner approves of the ad.,2011-10-18,,business
,,,,100,10,NA,NA,NA,,,"classification, regression",NA,Fertility Data Set,,,,,"100 volunteers provide a semen sample analyzed according to the WHO 2010 criteria. Sperm concentration are related to socio-demographic data, environmental factors, health status, and life habits",2013-01-17,,life
,,,,10800,20,NA,NA,NA,,,classification,NA,Firm-Teacher,,,,,The data are binary attack-point vectors and their clave-direction class(es) according to the partido-alto-based paradigm.,2015-04-24,,n/a
,,,,6118,51,NA,NA,NA,,,classification,NA,First-order theorem proving Data Set,,,,,"Given a theorem, predict which of five heuristics will give the fastest proof when used by a first-order prover. A sixth prediction declines to attempt a proof, should the theorem be too difficult.",2013-04-17,,computer
,,,,194,30,NA,NA,NA,,,classification,NA,Flags Data Set,,,,,"From Collins Gem Guide to Flags, 1986",1990-05-15,,n/a
,,,,106574,518,NA,NA,NA,,,"classification, clustering",NA,FMA: A Dataset For Music Analysis Data Set,,,,,"FMA features 106,574 tracks and includes song title, album, artist, genres; play counts, favorites, comments; description, biography, tags; together with audio (343 days, 917 GiB) and features.",2017-05-24,,computer
,,,,637,20,NA,NA,NA,,,"classification, clustering",NA,Folio Data Set,,,,,20 photos of leaves for each of 32 different species.,2015-07-05,,n/a
,,,,517,13,NA,NA,NA,,,regression,NA,Forest Fires Data Set,,,,,"This is a difficult regression task, where the aim is to predict the burned area of forest fires, in the northeast region of Portugal, by using meteorological and other data (see details at: [Web Link]).",2008-02-29,,physical
,,,,326,27,NA,NA,NA,,,classification,NA,Forest type mapping Data Set,,,,,Multi-temporal remote sensing data of a forested area in Japan. The goal is to map different forest types using spectral data.,2015-05-25,,life
,,,,352,N/A,NA,NA,NA,,,function-learning,NA,Function Finding Data Set,,,,,Cases collected mostly from investigations in physical science; intention is to evaluate function-finding algorithms,1990-09-01,,physical
,,,,48,321,NA,NA,NA,,,classification,NA,Gait Classification Data Set,,,,,"Gait is considered a biometric criterion. Therefore, we tried to classify people with gait analysis with this gait data set.",2020-10-14,,computer
,,,,13910,128,NA,NA,NA,,,classification,NA,Gas Sensor Array Drift Dataset Data Set,,,,,This archive contains 13910 measurements from 16 chemical sensors utilized in simulations for drift compensation in a discrimination task of 6 gases at various levels of concentrations.,2012-04-25,,computer
,,,,13910,129,NA,NA,NA,,,"classification, regression, clustering, causa",NA,Gas Sensor Array Drift Dataset at Different Concentrations Data Set,,,,,This archive contains 13910 measurements from 16 chemical sensors exposed to 6 different gases at various concentration levels.,2013-10-23,,computer
,,,,180,150000,NA,NA,NA,,,"classification, regression",NA,Gas sensor array exposed to turbulent gas mixtures Data Set,,,,,A chemical detection platform composed of 8 chemoresistive gas sensors was exposed to turbulent gas mixtures generated naturally in a wind tunnel. The acquired time series of the sensors are provided.,2014-10-10,,computer
,,,,4095000,20,NA,NA,NA,,,"classification, regression",NA,Gas sensor array temperature modulation Data Set,,,,,A chemical detection platform composed of 14 temperature-modulated metal oxide (MOX) gas sensors was exposed during 3 weeks to mixtures of carbon monoxide and humid synthetic air in a gas chamber.,2019-04-15,,computer
,,,,4178504,19,NA,NA,NA,,,"classification, regression",NA,Gas sensor array under dynamic gas mixtures Data Set,,,,,"The data set contains the recordings of 16 chemical sensors exposed to two dynamic gas mixtures at varying concentrations. For each mixture, signals were acquired continuously during 12 hours.",2015-03-20,,computer
,,,,58,120432,NA,NA,NA,,,"classification, regression",NA,Gas sensor array under flow modulation Data Set,,,,,The data set contains 58 time series acquired from 16 chemical sensors under gas flow modulation conditions. The sensors were exposed to different gaseous binary mixtures of acetone and ethanol.,2014-09-10,,computer
,,,,18000,1950000,NA,NA,NA,,,classification,NA,Gas sensor arrays in open sampling settings Data Set,,,,,The dataset contains 18000 time-series recordings from a chemical detection platform at six different locations in a wind tunnel facility in response to ten high-priority chemical gaseous substances,2013-06-05,,computer
,,,,919438,11,NA,NA,NA,,,classification,NA,Gas sensors for home activity monitoring Data Set,,,,,"100 recordings of a sensor array under different conditions in a home setting: background, wine and banana presentations. The array includes 8 MOX gas sensors, and humidity and temperature sensors.",2016-07-15,,computer
,,,,36733,11,NA,NA,NA,,,"regression, clustering",NA,Gas Turbine CO and NOx Emission Data Set Data Set,,,,,"The dataset contains 36733 instances of 11 sensor measures aggregated over one hour, from a gas turbine located in Turkey for the purpose of studying flue gas emissions, namely CO and NOx.",2019-11-29,,computer
,,,,76,698,NA,NA,NA,,,classification,NA,Gastrointestinal Lesions in Regular Colonoscopy Data Set,,,,,"This dataset contains features extracted from colonoscopy videos used to detect gastrointestinal lesions. It contains 76 lesions: 15 serrated adenomas, 21 hyperplastic lesions and 40 adenoma.",2016-10-15,,computer
,,,,147270,4,NA,NA,NA,,,"classification, clustering",NA,Gender by Name Data Set,,,,,"This dataset attributes first names to genders, giving counts and probabilities.  It combines open-source government data from the US, UK, Canada, and Australia.",2020-03-15,,social
,,,,801,20531,NA,NA,NA,,,"classification, clustering",NA,gene expression cancer RNA-Seq Data Set,,,,,"This collection of data is part of the RNA-Seq (HiSeq) PANCAN data set, it is a random extraction of gene expressions of patients having different types of tumor: BRCA, KIRC, COAD, LUAD and PRAD.",2016-06-09,,life
,,,,153540,25,NA,NA,NA,,,"classification, regression, clustering",NA,Geo-Magnetic field and WLAN dataset for indoor localisation from wristband and smartphone Data Set,,,,,A multisource and multivariate dataset for indoor localisation methods based on WLAN and Geo-Magnetic ï¬eld ï¬ngerprinting,2017-01-10,,computer
,,,,1059,68,NA,NA,NA,,,"classification, regression",NA,Geographical Original of Music Data Set,,,,,Instances in this dataset contain audio features extracted from 1059 wave files. The task associated with the data is to predict the geographical origin of music.,2014-10-18,,n/a
,,,,9900,50,NA,NA,NA,,,"classification, clustering",NA,Gesture Phase Segmentation Data Set,,,,,"The dataset is composed by features extracted from 7 videos with people gesticulating, aiming at studying Gesture Phase Segmentation. It contains 50 attributes divided into two files for each video.",2014-06-18,,n/a
,,,,13500,5000,NA,NA,NA,,,classification,NA,Gisette Data Set,,,,,GISETTE is a handwritten digit recognition problem. The problem is to separate the highly confusible digits '4' and '9'. This dataset is one of five datasets of the NIPS 2003 feature selection challenge.,2008-02-29,,computer
,,,,37700,4006,NA,NA,NA,,,classification,NA,GitHub MUSAE Data Set,,,,,"A social network of GitHub users with user-level attributes, connectivity data and a binary target variable.",2019-10-07,,social
,,,,214,10,NA,NA,NA,,,classification,NA,Glass Identification Data Set,,,,,"From USA Forensic Science Service; 6 types of glass; defined in terms of their oxide content (i.e. Na, Fe, K, etc)",1987-09-01,,physical
,,,,1672,5,NA,NA,NA,,,regression,NA,GNFUV Unmanned Surface Vehicles Sensor Data Data Set,,,,,"The data-set contains four (4) sets of mobile sensor readings data (humidity, temperature) corresponding to a swarm of four (4) Unmanned Surface Vehicles (USVs) in a test-bed in Athens (Greece).",2018-05-06,,computer
,,,,10190,6,NA,NA,NA,,,regression,NA,GNFUV Unmanned Surface Vehicles Sensor Data Set 2 Data Set,,,,,"The data-set contains eight (2x4) data-sets of mobile sensor readings data (humidity, temperature) corresponding to a swarm of four Unmanned Surface Vehicles (USVs) in a test-bed, Athens, Greece.",2018-09-13,,computer
,,,,163,15,NA,NA,NA,,,"classification, regression",NA,GPS Trajectories Data Set,,,,,The dataset has been feed by Android app called Go!Track. It is available at Goolge Play Store([Web Link]).,2016-02-29,,computer
,,,,27965,100,NA,NA,NA,,,"classification, clustering",NA,Grammatical Facial Expressions Data Set,,,,,This dataset supports the development of models that make possible to interpret Grammatical Facial Expressions from Brazilian Sign Language (Libras).,2014-10-06,,computer
,,,,2921,5232,NA,NA,NA,,,regression,NA,Greenhouse Gas Observing Network Data Set,,,,,Design an observing network to monitor emissions of a greenhouse gas (GHG) in California given time series of synthetic observations and tracers from weather model simulations.,2015-04-16,,physical
,,,,2633,5,NA,NA,NA,,,classification,NA,Guitar Chords finger positions Data Set,,,,,Position of the fingers for 2633 guitar chords in standard tuning (double checked with software),2020-06-05,,n/a
,,,,306,3,NA,NA,NA,,,classification,NA,Haberman's Survival Data Set,,,,,Dataset contains cases from study conducted on the survival of patients who had undergone surgery for breast cancer,1999-03-04,,life
,,,,160,5,NA,NA,NA,,,classification,NA,Hayes-Roth Data Set,,,,,Topic: human subjects study,1989-03-01,,social
,,,,165,49,NA,NA,NA,,,classification,NA,HCC Survival Data Set,,,,,Hepatocellular Carcinoma dataset (HCC dataset) was collected at a University Hospital in Portugal. It contains real clinical data of 165 patients diagnosed with HCC.,2017-11-29,,life
,,,,615,14,NA,NA,NA,,,"classification, clustering",NA,HCV data Data Set,,,,,The data set contains laboratory values of blood donors and Hepatitis C patients and demographic values like age.,2020-06-10,,life
,,,,58000,25000,NA,NA,NA,,,clustering,NA,Health News in Twitter Data Set,,,,,"The data was collected in 2015 using Twitter API. This dataset contains health news from more than 15 major health news agencies such as BBC, CNN, and NYT.",2018-02-19,,computer
,,,,303,75,NA,NA,NA,,,classification,NA,Heart Disease Data Set,,,,,"4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach",1988-07-01,,life
,,,,299,13,NA,NA,NA,,,"classification, regression, clustering",NA,Heart failure clinical records Data Set,,,,,"This dataset contains the medical records of 299 patients who had heart failure, collected during their follow-up period, where each patient profile has 13 clinical features.",2020-02-05,,life
,,,,155,19,NA,NA,NA,,,classification,NA,Hepatitis Data Set,,,,,From G.Gong: CMU; Mostly Boolean or numeric-valued attribute types; Includes cost data (donated by Peter Turney),1988-11-01,,life
,,,,1385,29,NA,NA,NA,,,classification,NA,Hepatitis C Virus (HCV) for Egyptian patients Data Set,,,,,Egyptian patients who underwent treatment dosages for HCV about 18 months. Discretization should be applied based on expert recommendations; there is an attached file shows how.,2019-09-30,,life
,,,,10500000,28,NA,NA,NA,,,classification,NA,HEPMASS Data Set,,,,,The search for exotic particles requires sorting through a large number of collisions to find the events of interest. This data set challenges one to detect a new particle of unknown mass.,2016-01-28,,physical
,,,,43930257,16,NA,NA,NA,,,"classification, clustering",NA,Heterogeneity Activity Recognition Data Set,,,,,"The Heterogeneity Human Activity Recognition (HHAR) dataset from Smartphones and Smartwatches is a dataset devised to benchmark human activity recognition algorithms (classification, automatic data segmentation, sensor fusion, feature extraction, etc.) in real-world contexts; specifically, the dataset is gathered with a variety of different device models and use-scenarios, in order to reflect sensing heterogeneities to be expected in real deployments.",2015-10-26,,computer
,,,,11000000,28,NA,NA,NA,,,classification,NA,HIGGS Data Set,,,,,This is a classification problem to distinguish between a signal process which produces Higgs bosons and a background process which does not.,2014-02-12,,physical
,,,,606,101,NA,NA,NA,,,classification,NA,Hill-Valley Data Set,,,,,"Each record represents 100 points on a two-dimensional graph. When plotted in order (from 1 through 100) as the Y co-ordinate, the points will create either a Hill (a “bump” in the terrain) or a Valley (a “dip” in the terrain).",2008-03-20,,n/a
,,,,6590,1,NA,NA,NA,,,classification,NA,HIV-1 protease cleavage Data Set,,,,,The data contains lists of octamers (8 amino acids) and a flag (-1 or 1) depending on whether HIV-1 protease will cleave in the central position (between amino acids 4 and 5).,2015-04-25,,life
